city,date,fare,ride_id
Annaland,2018-01-06 04:45:47,40.58,5519324720952
Ortizland,2018-03-06 18:20:18,38.94,4874045918745
Hollowayburgh,2018-03-08 02:53:44,23.51,8211332961309
Josephtown,2018-01-05 01:58:21,13.16,9035194799011
Lukeport,2018-02-20 17:02:58,5.27,2478892694344
North Samantha,2018-03-11 19:53:10,44.27,8605366548979
Ortizland,2018-01-30 21:52:21,41.03,1335079148728
Glendatown,2018-02-21 01:33:54,6.93,2552528215100
New Christopher,2018-01-23 06:09:49,40.88,5659831798935
Willismouth,2018-02-03 18:24:18,4.06,8234542192936
Diazmouth,2018-03-01 13:04:29,38.8,6946602789773
South Jessica,2018-02-14 09:44:57,38.2,4252036824198
New Matthewborough,2018-02-24 18:57:13,27.23,4326831186260
South Jessica,2018-02-17 13:48:30,11.46,5117553914496
New Andrew,2018-01-01 20:22:57,25.25,2549479149127
New Christopher,2018-01-14 14:06:46,16.2,0768825925587
Leeside,2018-02-11 10:21:32,27.74,5266188584625
Mcdonaldbury,2018-02-21 03:37:57,16.61,7458483985858
Mullinsbury,2018-02-10 06:30:13,43.53,9462858976059
New Matthewborough,2018-02-17 03:10:18,41.48,4429429990901
Rodriguezborough,2018-03-05 18:05:34,6.59,8250131626705
Josephville,2018-01-08 16:08:39,8.9,0279732697752
Mullinsbury,2018-02-25 20:34:54,21.55,1251756948125
Lukeport,2018-01-24 19:03:40,9.98,9040478852825
Riverahaven,2018-02-25 03:15:19,27.89,9301237222809
East Jenniferborough,2018-01-25 06:00:49,43.44,5031900024129
East Jessicastad,2018-02-12 19:44:29,10.22,7812833124494
Lake Lindsay,2018-03-12 04:41:56,7.43,5067393471164
New Adam,2018-01-19 04:32:01,16.39,5140556559210
East Yvonneshire,2018-01-13 08:51:56,16.81,6934425367964
Rodriguezborough,2018-01-13 01:30:32,19.96,0831779082429
New Brandystad,2018-02-21 01:36:12,41.17,9631267235655
Baileychester,2018-03-07 08:29:22,34.27,3810612475052
Hollowayburgh,2018-02-03 00:27:17,7.2,3300295560232
Johnmouth,2018-03-06 08:44:14,12.32,1126902409990
Brownfort,2018-02-13 21:31:57,43.41,7056456949472
South Richardberg,2018-03-02 06:44:03,22.37,3993244525224
Mullinsbury,2018-02-16 03:59:23,15.83,1267158178640
Brownfort,2018-02-16 02:32:09,23.48,8294177651086
